"Date","Location","Average Occupancy(%)","Active IDs Assigned to Sites","Total Badge Swipes"
"Apr 22,2020","Tokyo, Japan (Kyobashi)","5.71","35","2"
"Apr 22,2020","India Elnath Bldg 5","5.38","1896","102"
"Apr 22,2020","India-Electra, Bldg 4","3","1233","37"
"Apr 22,2020","Hong Kong","9.72","72","7"
"Apr 22,2020","India-Bagmane Tridib, Bldg 3","3.31","483","16"
"Apr 22,2020","Dublin","9.09","22","2"
"Apr 22,2020","Dubai","5.88","34","2"
"Apr 22,2020","Sydney Sales","13.33","45","6"
"Apr 22,2020","Melbourne Sales","5.66","53","3"
"Apr 22,2020","America s Demo Pool- Sterling VA","75","4","3"
"Apr 22,2020","Madrid, Spain","2.5","40","1"
"Apr 22,2020","Shanghai","40.48","42","17"
"Apr 22,2020","Guangzhou, China","21.05","19","4"
"Apr 22,2020","Munich","15.38","13","2"
"Apr 22,2020","Beijing CSS","2.99","67","2"
"Apr 22,2020","Beijing R&D","77.85","149","116"
"Apr 22,2020","Kanata Optical (BTI Ottawa)","14.29","21","3"
"Apr 22,2020","Beijing Sales","20.41","49","10"
"Apr 22,2020","Kanata (R&D)","3.92","51","2"
"Apr 22,2020","Brussels","100","2","2"
"Apr 23,2020","Brussels","50","2","1"
"Apr 23,2020","Kanata (R&D)","3.92","51","2"
"Apr 23,2020","Beijing Sales","10.2","49","5"
"Apr 23,2020","Kanata Optical (BTI Ottawa)","9.52","21","2"
"Apr 23,2020","Beijing R&D","82.55","149","123"
"Apr 23,2020","Beijing CSS","1.49","67","1"
"Apr 23,2020","Munich","15.38","13","2"
"Apr 23,2020","Guangzhou, China","21.05","19","4"
"Apr 23,2020","Shanghai","21.43","42","9"
"Apr 23,2020","America s Demo Pool- Sterling VA","75","4","3"
"Apr 23,2020","Paris, France","3.39","59","2"
"Apr 23,2020","Melbourne Sales","9.43","53","5"
"Apr 23,2020","Sydney Sales","13.33","45","6"
"Apr 23,2020","Dublin","4.55","22","1"
"Apr 23,2020","India-Bagmane Tridib, Bldg 3","3.52","483","17"
"Apr 23,2020","Hong Kong","11.11","72","8"
"Apr 23,2020","India-Electra, Bldg 4","3.16","1233","39"
"Apr 23,2020","India Elnath Bldg 5","5.06","1896","96"
"Apr 23,2020","Tokyo, Japan (Kyobashi)","2.86","35","1"
"Apr 23,2020","Milan","10.53","19","2"
"Apr 23,2020","India-Mumbai","4.17","24","1"
"Apr 23,2020","Tokyo, Japan (Shinjuku)","1.69","177","3"
"Apr 23,2020","Seoul, Korea","31.82","44","14"
"Apr 23,2020","Amsterdam","5.12","254","13"
"Apr 23,2020","Taipei","44","25","11"
"Apr 23,2020","Addlestone","2.47","81","2"
"Apr 23,2020","Stockholm","5.88","17","1"
"Apr 23,2020","Singapore","1.47","68","1"
"Apr 23,2020","Belfast","5.56","18","1"
"Apr 23,2020","Bridgewater","8.82","34","3"
"Apr 23,2020","Dallas","5.88","17","1"
"Apr 23,2020","Cupertino, CA (Mist)","2.7","111","3"
