"Date","Location","Average Occupancy(%)","Active IDs Assigned to Sites","Total Badge Swipes"
"Jun 23,2020","Tokyo, Japan (Kyobashi)","6.25","32","2"
"Jun 23,2020","Tokyo, Japan (Shinjuku)","11.3","177","20"
"Jun 23,2020","Seoul, Korea","31.11","45","14"
"Jun 23,2020","Kuala Lumpur, Malaysia","6.67","30","2"
"Jun 23,2020","Amsterdam","5.56","252","14"
"Jun 23,2020","Riyadh","1.11","90","1"
"Jun 23,2020","Stockholm","6.25","16","1"
"Jun 23,2020","Singapore","7.14","70","5"
"Jun 23,2020","Taipei","58.33","24","14"
"Jun 23,2020","Addlestone","4","75","3"
"Jun 23,2020","Belfast","5.56","18","1"
"Jun 23,2020","Bridgewater","20.59","34","7"
"Jun 23,2020","Cupertino, CA (Mist)","8.93","112","10"
"Jun 23,2020","Dallas","12.5","16","2"
"Jun 23,2020","Durham, NC","12.5","48","6"
"Jun 23,2020","Herndon, Bldg 1","13.6","125","17"
"Jun 23,2020","Quincy, WA GEO DC Bldg A","78.13","32","25"
"Jun 23,2020","SVL Building 5","52.38","63","33"
"Jun 23,2020","SVL Building 8","116.28","43","50"
"Jun 23,2020","SVL Building A","6.81","1204","82"
"Jun 23,2020","SVL Building B","6","1283","77"
"Jun 23,2020","Westford NEIC R&D","10.99","446","49"
"Jun 24,2020","Dallas","6.25","16","1"
"Jun 24,2020","Durham, NC","8.33","48","4"
"Jun 24,2020","Frederick, MD (R&D)","33.33","3","1"
"Jun 24,2020","Herndon, Bldg 1","10.4","125","13"
"Jun 24,2020","Quincy, WA GEO DC Bldg A","87.5","32","28"
"Jun 24,2020","SVL Building 5","46.03","63","29"
"Jun 24,2020","SVL Building 8","102.33","43","44"
"Jun 24,2020","SVL Building A","6.56","1205","79"
"Jun 24,2020","SVL Building B","6.4","1282","82"
"Jun 24,2020","Westford NEIC R&D","10.56","445","47"
"Jun 24,2020","Dubai","33.33","33","11"
"Jun 24,2020","Melbourne Sales","7.69","52","4"
"Jun 24,2020","Sydney Sales","14.89","47","7"
"Jun 24,2020","Brussels","50","2","1"
"Jun 24,2020","Kanata (R&D)","3.92","51","2"
"Jun 24,2020","Kanata Optical (BTI Ottawa)","9.52","21","2"
"Jun 24,2020","Beijing Sales","6","50","3"
"Jun 24,2020","Beijing R&D","20","150","30"
"Jun 24,2020","Beijing CSS","4.55","66","3"
"Jun 24,2020","Guangzhou, China","52.63","19","10"
"Jun 24,2020","Shanghai","19.51","41","8"
"Jun 24,2020","Wuhan R&D","40","5","2"
"Jun 24,2020","Munich","38.46","13","5"
"Jun 24,2020","Madrid, Spain","7.69","39","3"
"Jun 24,2020","Paris, France","24.07","54","13"
"Jun 24,2020","America s Demo Pool- Sterling VA","50","4","2"
"Jun 24,2020","Hong Kong","45.07","71","32"
"Jun 24,2020","Dublin","4.55","22","1"
"Jun 24,2020","India-Bagmane Tridib, Bldg 3","9.75","472","46"
"Jun 24,2020","India-Electra, Bldg 4","9.51","1220","116"
"Jun 24,2020","India Elnath Bldg 5","10.51","1874","197"
"Jun 24,2020","India-Mumbai","4.17","24","1"
"Jun 24,2020","Milan","21.05","19","4"
"Jun 24,2020","Tokyo, Japan (Kyobashi)","12.5","32","4"
"Jun 24,2020","Tokyo, Japan (Shinjuku)","7.34","177","13"
"Jun 24,2020","Seoul, Korea","28.89","45","13"
"Jun 24,2020","Amsterdam","6.35","252","16"
"Jun 24,2020","Riyadh","2.22","90","2"
"Jun 24,2020","Singapore","4.29","70","3"
"Jun 24,2020","Taipei","37.5","24","9"
"Jun 24,2020","Addlestone","1.33","75","1"
"Jun 24,2020","London, UK","6.67","15","1"
"Jun 24,2020","Bridgewater","14.71","34","5"
"Jun 24,2020","Cupertino, CA (Mist)","6.25","112","7"
"Jun 25,2020","Dubai","24.24","33","8"
"Jun 25,2020","Melbourne Sales","11.54","52","6"
"Jun 25,2020","Sydney Sales","19.15","47","9"
"Jun 25,2020","Kanata Optical (BTI Ottawa)","4.76","21","1"
"Jun 25,2020","Beijing R&D","0.67","150","1"
"Jun 25,2020","Shanghai","2.44","41","1"
"Jun 25,2020","Wuhan R&D","25","4","1"
"Jun 25,2020","Munich","53.85","13","7"
"Jun 25,2020","Madrid, Spain","23.08","39","9"
"Jun 25,2020","Paris, France","29.63","54","16"
"Jun 25,2020","America s Demo Pool- Sterling VA","75","4","3"
"Jun 25,2020","India-Bagmane Tridib, Bldg 3","10.59","472","50"
"Jun 25,2020","India-Electra, Bldg 4","9.52","1219","116"
"Jun 25,2020","India Elnath Bldg 5","11.21","1873","210"
"Jun 25,2020","India-Mumbai","4.17","24","1"
"Jun 25,2020","Milan","21.05","19","4"
"Jun 25,2020","Tokyo, Japan (Kyobashi)","12.5","32","4"
"Jun 25,2020","Tokyo, Japan (Shinjuku)","13.56","177","24"
"Jun 25,2020","Seoul, Korea","37.78","45","17"
"Jun 25,2020","Amsterdam","5.56","252","14"
"Jun 25,2020","Moscow","2.5","40","1"
"Jun 25,2020","Riyadh","1.11","90","1"
"Jun 25,2020","Stockholm","25","16","4"
"Jun 25,2020","Singapore","12.86","70","9"
"Jun 25,2020","Addlestone","5.33","75","4"
"Jun 25,2020","London, UK","6.67","15","1"
"Jun 25,2020","Bridgewater","14.71","34","5"
"Jun 25,2020","Cupertino, CA (Mist)","7.14","112","8"
"Jun 25,2020","Durham, NC","8.33","48","4"
"Jun 25,2020","Herndon, Bldg 1","12.8","125","16"
"Jun 25,2020","Quincy, WA GEO DC Bldg A","87.5","32","28"
"Jun 25,2020","SVL Building 5","46.03","63","29"
"Jun 25,2020","SVL Building 8","111.63","43","48"
"Jun 25,2020","SVL Building A","6.64","1204","80"
"Jun 25,2020","SVL Building B","6.08","1282","78"
"Jun 25,2020","Westford NEIC R&D","8.31","445","37"
"Jun 26,2020","Dubai","3.03","33","1"
"Jun 26,2020","Melbourne Sales","7.69","52","4"
"Jun 26,2020","Sydney Sales","12.77","47","6"
"Jun 26,2020","Brussels","50","2","1"
"Jun 26,2020","Kanata Optical (BTI Ottawa)","14.29","21","3"
"Jun 26,2020","Beijing Sales","2","50","1"
"Jun 26,2020","Beijing R&D","2.67","150","4"
"Jun 26,2020","Shanghai","4.88","41","2"
"Jun 26,2020","Munich","23.08","13","3"
"Jun 26,2020","Madrid, Spain","5.13","39","2"
"Jun 26,2020","Paris, France","16.67","54","9"
"Jun 26,2020","America s Demo Pool- Sterling VA","50","4","2"
"Jun 26,2020","Hong Kong","26.76","71","19"
"Jun 26,2020","India-Bagmane Tridib, Bldg 3","10.38","472","49"
"Jun 26,2020","India-Electra, Bldg 4","10.36","1216","126"
"Jun 26,2020","India Elnath Bldg 5","11.54","1872","216"
"Jun 26,2020","India-Mumbai","4.17","24","1"
"Jun 26,2020","Milan","15.79","19","3"
"Jun 26,2020","Tokyo, Japan (Kyobashi)","6.25","32","2"
"Jun 26,2020","Tokyo, Japan (Shinjuku)","12.99","177","23"
"Jun 26,2020","Seoul, Korea","31.11","45","14"
"Jun 26,2020","Kuala Lumpur, Malaysia","6.67","30","2"
"Jun 26,2020","Amsterdam","4.76","252","12"
"Jun 26,2020","Moscow","2.5","40","1"
"Jun 26,2020","Singapore","5.71","70","4"
"Jun 26,2020","Addlestone","1.33","75","1"
"Jun 26,2020","Belfast","5.56","18","1"
"Jun 26,2020","Bridgewater","8.82","34","3"
"Jun 26,2020","Cupertino, CA (Mist)","4.46","112","5"
"Jun 26,2020","Dallas","6.25","16","1"
"Jun 26,2020","Durham, NC","4.17","48","2"
"Jun 26,2020","Herndon, Bldg 1","10.4","125","13"
"Jun 26,2020","Quincy, WA GEO DC Bldg A","71.88","32","23"
"Jun 26,2020","SVL Building 5","49.21","63","31"
"Jun 26,2020","SVL Building 8","102.33","43","44"
"Jun 26,2020","SVL Building A","6.58","1201","79"
"Jun 26,2020","SVL Building B","6.17","1281","79"
"Jun 26,2020","Westford NEIC R&D","5.39","445","24"
"Jun 27,2020","Dubai","9.09","33","3"
"Jun 27,2020","Melbourne Sales","1.89","53","1"
"Jun 27,2020","Kanata (R&D)","1.96","51","1"
"Jun 27,2020","Kanata Optical (BTI Ottawa)","4.76","21","1"
"Jun 27,2020","Beijing R&D","2.67","150","4"
"Jun 27,2020","Guangzhou, China","5.26","19","1"
"Jun 27,2020","Wuhan R&D","50","4","2"
"Jun 27,2020","Munich","7.69","13","1"
"Jun 27,2020","Hong Kong","4.23","71","3"
"Jun 27,2020","India-Bagmane Tridib, Bldg 3","8.9","472","42"
"Jun 27,2020","India-Electra, Bldg 4","6.08","1217","74"
"Jun 27,2020","India Elnath Bldg 5","8.28","1873","155"
"Jun 27,2020","India-Mumbai","4.17","24","1"
"Jun 27,2020","Milan","5.26","19","1"
"Jun 27,2020","Tokyo, Japan (Kyobashi)","3.13","32","1"
"Jun 27,2020","Tokyo, Japan (Shinjuku)","1.13","177","2"
"Jun 27,2020","Seoul, Korea","2.22","45","1"
"Jun 27,2020","Kuala Lumpur, Malaysia","6.67","30","2"
"Jun 27,2020","Amsterdam","1.59","252","4"
"Jun 27,2020","Moscow","2.5","40","1"
"Jun 27,2020","Stockholm","6.67","15","1"
"Jun 27,2020","Taipei","4.17","24","1"
"Jun 27,2020","Addlestone","1.33","75","1"
"Jun 27,2020","Dallas","6.25","16","1"
"Jun 27,2020","Durham, NC","2.08","48","1"
"Jun 27,2020","Herndon, Bldg 1","2.4","125","3"
"Jun 27,2020","Quincy, WA GEO DC Bldg A","15.63","32","5"
"Jun 27,2020","SVL Building 5","3.17","63","2"
"Jun 27,2020","SVL Building 8","6.98","43","3"
"Jun 27,2020","SVL Building A","1.67","1200","20"
"Jun 27,2020","SVL Building B","1.56","1280","20"
"Jun 27,2020","Westford NEIC R&D","0.9","445","4"
"Jun 28,2020","Dubai","27.27","33","9"
"Jun 28,2020","Kanata (R&D)","3.92","51","2"
"Jun 28,2020","Kanata Optical (BTI Ottawa)","4.76","21","1"
"Jun 28,2020","Beijing Sales","8","50","4"
"Jun 28,2020","Beijing R&D","26.67","150","40"
"Jun 28,2020","Beijing CSS","4.55","66","3"
"Jun 28,2020","Guangzhou, China","42.11","19","8"
"Jun 28,2020","Shanghai","14.63","41","6"
"Jun 28,2020","Munich","7.69","13","1"
"Jun 28,2020","Paris, France","1.85","54","1"
"Jun 28,2020","Hong Kong","1.41","71","1"
"Jun 28,2020","India-Bagmane Tridib, Bldg 3","7.23","470","34"
"Jun 28,2020","India-Electra, Bldg 4","5.02","1216","61"
"Jun 28,2020","India Elnath Bldg 5","6.57","1872","123"
"Jun 28,2020","India-Mumbai","4.17","24","1"
"Jun 28,2020","Milan","5.26","19","1"
"Jun 28,2020","Tokyo, Japan (Shinjuku)","0.56","177","1"
"Jun 28,2020","Seoul, Korea","2.22","45","1"
"Jun 28,2020","Amsterdam","1.19","252","3"
"Jun 28,2020","Riyadh","3.33","90","3"
"Jun 28,2020","Cupertino, CA (Mist)","0.89","112","1"
"Jun 28,2020","Durham, NC","4.17","48","2"
"Jun 28,2020","Herndon, Bldg 1","2.4","125","3"
"Jun 28,2020","Quincy, WA GEO DC Bldg A","12.5","32","4"
"Jun 28,2020","SVL Building 5","3.17","63","2"
"Jun 28,2020","SVL Building 8","2.33","43","1"
"Jun 28,2020","SVL Building A","0.5","1199","6"
"Jun 28,2020","SVL Building B","1.17","1280","15"
"Jun 28,2020","Westford NEIC R&D","1.35","445","6"
"Jun 29,2020","Dubai","27.27","33","9"
"Jun 29,2020","Melbourne Sales","7.55","53","4"
"Jun 29,2020","Sydney Sales","10.64","47","5"
"Jun 29,2020","Brussels","150","2","3"
"Jun 29,2020","Kanata (R&D)","3.92","51","2"
"Jun 29,2020","Kanata Optical (BTI Ottawa)","9.52","21","2"
"Jun 29,2020","Beijing Sales","18","50","9"
"Jun 29,2020","Beijing R&D","28.67","150","43"
"Jun 29,2020","Beijing CSS","10.61","66","7"
"Jun 29,2020","Guangzhou, China","73.68","19","14"
"Jun 29,2020","Shanghai","53.66","41","22"
"Jun 29,2020","Wuhan R&D","100","4","4"
"Jun 29,2020","Munich","46.15","13","6"
"Jun 29,2020","Madrid, Spain","10.26","39","4"
"Jun 29,2020","Paris, France","22.22","54","12"
"Jun 29,2020","America s Demo Pool- Sterling VA","75","4","3"
"Jun 29,2020","Hong Kong","45.07","71","32"
"Jun 29,2020","India-Bagmane Tridib, Bldg 3","10","470","47"
"Jun 29,2020","India-Electra, Bldg 4","10.44","1216","127"
"Jun 29,2020","India Elnath Bldg 5","11.6","1871","217"
"Jun 29,2020","India-Mumbai","4.17","24","1"
"Jun 29,2020","Milan","21.05","19","4"
"Jun 29,2020","Tokyo, Japan (Kyobashi)","6.25","32","2"
"Jun 29,2020","Tokyo, Japan (Shinjuku)","7.34","177","13"
"Jun 29,2020","Seoul, Korea","71.11","45","32"
"Jun 29,2020","Kuala Lumpur, Malaysia","16.67","30","5"
"Jun 29,2020","Amsterdam","7.94","252","20"
"Jun 29,2020","Moscow","5","40","2"
"Jun 29,2020","Riyadh","3.33","90","3"
"Jun 29,2020","Stockholm","13.33","15","2"
"Jun 29,2020","Singapore","28.57","70","20"
"Jun 29,2020","Taipei","87.5","24","21"
"Jun 29,2020","Addlestone","2.67","75","2"
"Jun 29,2020","Belfast","5.56","18","1"
"Jun 29,2020","London, UK","6.67","15","1"
"Jun 29,2020","Bridgewater","14.71","34","5"
"Jun 29,2020","Cupertino, CA (Mist)","6.25","112","7"
"Jun 29,2020","Dallas","12.5","16","2"
"Jun 29,2020","Durham, NC","6.25","48","3"
"Jun 29,2020","Frederick, MD (R&D)","66.67","3","2"
"Jun 29,2020","Herndon, Bldg 1","13.6","125","17"
"Jun 29,2020","Quincy, WA GEO DC Bldg A","93.75","32","30"
"Jun 29,2020","SVL Building 5","41.27","63","26"
"Jun 29,2020","SVL Building 8","113.95","43","49"
"Jun 29,2020","SVL Building A","7.17","1199","86"
"Jun 29,2020","SVL Building B","6.64","1280","85"
"Jun 29,2020","Westford NEIC R&D","6.97","445","31"
"Jun 30,2020","Dubai","42.42","33","14"
"Jun 30,2020","Melbourne Sales","7.41","54","4"
"Jun 30,2020","Sydney Sales","14.89","47","7"
"Jun 30,2020","Brussels","100","2","2"
"Jun 30,2020","Kanata (R&D)","1.96","51","1"
"Jun 30,2020","Kanata Optical (BTI Ottawa)","9.52","21","2"
"Jun 30,2020","Beijing Sales","18","50","9"
"Jun 30,2020","Beijing R&D","23.33","150","35"
"Jun 30,2020","Beijing CSS","6.15","65","4"
"Jun 30,2020","Guangzhou, China","42.11","19","8"
"Jun 30,2020","Shanghai","41.46","41","17"
"Jun 30,2020","Wuhan R&D","75","4","3"
"Jun 30,2020","Munich","46.15","13","6"
"Jun 30,2020","Madrid, Spain","10.26","39","4"
"Jun 30,2020","Paris, France","42.59","54","23"
"Jun 30,2020","America s Demo Pool- Sterling VA","75","4","3"
"Jun 30,2020","Hong Kong","36.62","71","26"
"Jun 30,2020","India-Bagmane Tridib, Bldg 3","10","470","47"
"Jun 30,2020","India-Electra, Bldg 4","9.37","1217","114"
"Jun 30,2020","India Elnath Bldg 5","10.37","1871","194"
"Jun 30,2020","India-Mumbai","8.33","24","2"
"Jun 30,2020","Milan","15.79","19","3"
"Jun 30,2020","Tokyo, Japan (Kyobashi)","21.88","32","7"
"Jun 30,2020","Tokyo, Japan (Shinjuku)","8.47","177","15"
"Jun 30,2020","Seoul, Korea","15.56","45","7"
"Jun 30,2020","Amsterdam","7.54","252","19"
"Jun 30,2020","Moscow","7.5","40","3"
"Jun 30,2020","Riyadh","2.22","90","2"
"Jun 30,2020","Singapore","12.86","70","9"
"Jun 30,2020","Taipei","50","24","12"
"Jun 30,2020","Addlestone","2.7","74","2"
"Jun 30,2020","Belfast","5.56","18","1"
"Jun 30,2020","Bridgewater","17.14","35","6"
"Jun 30,2020","Cupertino, CA (Mist)","8.04","112","9"
"Jun 30,2020","Dallas","6.25","16","1"
"Jun 30,2020","Durham, NC","10.42","48","5"
"Jun 30,2020","Herndon, Bldg 1","12.8","125","16"
"Jun 30,2020","Quincy, WA GEO DC Bldg A","96.88","32","31"
"Jun 30,2020","SVL Building 5","42.86","63","27"
"Jun 30,2020","SVL Building 8","109.3","43","47"
"Jun 30,2020","SVL Building A","7.08","1200","85"
"Jun 30,2020","SVL Building B","6.49","1279","83"
"Jun 30,2020","Westford NEIC R&D","10.56","445","47"
"Mar 01,2020","Westford NEIC R&D","2.21","452","10"
"Mar 01,2020","SVL Building B","2.1","1335","28"
"Mar 01,2020","SVL Building A","1.75","1260","22"
"Mar 01,2020","SVL Building 8","8.89","45","4"
"Mar 01,2020","Quincy, WA GEO DC Bldg A","12.5","32","4"
"Mar 01,2020","SVL Building 5","3.13","64","2"
"Mar 01,2020","Herndon, Bldg 1","3.97","126","5"
"Mar 01,2020","Dubai","73.53","34","25"
"Mar 01,2020","Kanata (R&D)","7.84","51","4"
"Mar 01,2020","Kanata Optical (BTI Ottawa)","9.52","21","2"
"Mar 01,2020","Beijing CSS","1.49","67","1"
"Mar 01,2020","Beijing Sales","2.04","49","1"
"Mar 01,2020","Shanghai","2.38","42","1"
"Mar 01,2020","Paris, France","3.39","59","2"
"Mar 01,2020","Munich","7.69","13","1"
"Mar 01,2020","Cupertino, CA (Mist)","1.8","111","2"
"Mar 01,2020","Addlestone","1.23","81","1"
"Mar 01,2020","Riyadh","25.27","91","23"
"Mar 01,2020","Moscow","7.32","41","3"
"Mar 01,2020","Singapore","1.47","68","1"
"Mar 01,2020","India-Bagmane Tridib, Bldg 3","7.45","483","36"
"Mar 01,2020","India-Electra, Bldg 4","5.11","1233","63"
"Mar 01,2020","India Elnath Bldg 5","7.54","1896","143"
"Mar 01,2020","India-Mumbai","4.17","24","1"
"Mar 01,2020","Tokyo, Japan (Kyobashi)","2.86","35","1"
"Mar 01,2020","Tokyo, Japan (Shinjuku)","0.56","177","1"
"Mar 01,2020","Seoul, Korea","4.55","44","2"
"Mar 01,2020","Amsterdam","1.18","254","3"
"Mar 02,2020","Amsterdam","72.44","254","184"
"Mar 02,2020","Kuala Lumpur, Malaysia","44.83","29","13"
"Mar 02,2020","Seoul, Korea","15.91","44","7"
"Mar 02,2020","Tokyo, Japan (Shinjuku)","52.54","177","93"
"Mar 02,2020","Tokyo, Japan (Kyobashi)","57.14","35","20"
"Mar 02,2020","Milan","47.37","19","9"
"Mar 02,2020","India-Mumbai","79.17","24","19"
"Mar 02,2020","India Elnath Bldg 5","89.87","1896","1704"
"Mar 02,2020","India-Electra, Bldg 4","97.32","1233","1200"
"Mar 02,2020","India-Bagmane Tridib, Bldg 3","79.71","483","385"
"Mar 02,2020","Dublin","54.55","22","12"
"Mar 02,2020","America s Demo Pool- Sterling VA","125","4","5"
"Mar 02,2020","Hong Kong","48.61","72","35"
"Mar 02,2020","Singapore","58.82","68","40"
"Mar 02,2020","Taipei","64","25","16"
"Mar 02,2020","Moscow","70.73","41","29"
"Mar 02,2020","Riyadh","25.27","91","23"
"Mar 02,2020","Stockholm","64.71","17","11"
"Mar 02,2020","Addlestone","34.57","81","28"
"Mar 02,2020","Belfast","66.67","18","12"
"Mar 02,2020","London, UK","88.89","18","16"
"Mar 02,2020","Cupertino, CA (Mist)","54.95","111","61"
"Mar 02,2020","Bridgewater","61.76","34","21"
"Mar 02,2020","Dallas","41.18","17","7"
"Mar 02,2020","Frederick, MD (R&D)","133.33","3","4"
"Mar 02,2020","Durham, NC","68.75","48","33"
"Mar 02,2020","Munich","69.23","13","9"
"Mar 02,2020","Madrid, Spain","5","40","2"
"Mar 02,2020","Paris, France","57.63","59","34"
"Mar 02,2020","Shanghai","14.29","42","6"
"Mar 02,2020","Beijing Sales","4.08","49","2"
"Mar 02,2020","Beijing R&D","6.04","149","9"
"Mar 02,2020","Beijing CSS","2.99","67","2"
"Mar 02,2020","Guangzhou, China","5.26","19","1"
"Mar 02,2020","Kanata Optical (BTI Ottawa)","80.95","21","17"
"Mar 02,2020","Kanata (R&D)","64.71","51","33"
"Mar 02,2020","Sydney Sales","91.11","45","41"
"Mar 02,2020","Brussels","450","2","9"
"Mar 02,2020","Dubai","79.41","34","27"
"Mar 02,2020","Melbourne Sales","69.81","53","37"
"Mar 02,2020","Herndon, Bldg 1","50","126","63"
"Mar 02,2020","SVL Building 5","115.63","64","74"
"Mar 02,2020","Quincy, WA GEO DC Bldg A","78.13","32","25"
"Mar 02,2020","SVL Building 8","151.11","45","68"
"Mar 02,2020","SVL Building A","90","1260","1134"
"Mar 02,2020","SVL Building B","88.76","1335","1185"
"Mar 02,2020","Westford NEIC R&D","69.91","452","316"
"Mar 03,2020","Westford NEIC R&D","68.58","452","310"
"Mar 03,2020","SVL Building B","91.31","1335","1219"
"Mar 03,2020","SVL Building A","90.63","1260","1142"
"Mar 03,2020","SVL Building 8","162.22","45","73"
"Mar 03,2020","Quincy, WA GEO DC Bldg A","106.25","32","34"
"Mar 03,2020","SVL Building 5","117.19","64","75"
"Mar 03,2020","Herndon, Bldg 1","57.14","126","72"
"Mar 03,2020","Melbourne Sales","75.47","53","40"
"Mar 03,2020","Dubai","73.53","34","25"
"Mar 03,2020","Brussels","200","2","4"
"Mar 03,2020","Sydney Sales","80","45","36"
"Mar 03,2020","Kanata (R&D)","66.67","51","34"
"Mar 03,2020","Kanata Optical (BTI Ottawa)","100","21","21"
"Mar 03,2020","Guangzhou, China","5.26","19","1"
"Mar 03,2020","Beijing CSS","2.99","67","2"
"Mar 03,2020","Beijing R&D","4.7","149","7"
"Mar 03,2020","Beijing Sales","2.04","49","1"
"Mar 03,2020","Shanghai","7.14","42","3"
"Mar 03,2020","Paris, France","50.85","59","30"
"Mar 03,2020","Madrid, Spain","90","40","36"
"Mar 03,2020","Munich","169.23","13","22"
"Mar 03,2020","Durham, NC","58.33","48","28"
"Mar 03,2020","Dallas","64.71","17","11"
"Mar 03,2020","Bridgewater","73.53","34","25"
"Mar 03,2020","Cupertino, CA (Mist)","60.36","111","67"
"Mar 03,2020","London, UK","155.56","18","28"
"Mar 03,2020","Belfast","72.22","18","13"
"Mar 03,2020","Addlestone","40.74","81","33"
"Mar 03,2020","Stockholm","70.59","17","12"
"Mar 03,2020","Riyadh","28.57","91","26"
"Mar 03,2020","Moscow","75.61","41","31"
"Mar 03,2020","Taipei","68","25","17"
"Mar 03,2020","Singapore","39.71","68","27"
"Mar 03,2020","Hong Kong","34.72","72","25"
"Mar 03,2020","America s Demo Pool- Sterling VA","100","4","4"
"Mar 03,2020","Dublin","77.27","22","17"
"Mar 03,2020","India-Bagmane Tridib, Bldg 3","84.06","483","406"
"Mar 03,2020","India-Electra, Bldg 4","96.11","1233","1185"
"Mar 03,2020","India Elnath Bldg 5","89.93","1896","1705"
"Mar 03,2020","India-Mumbai","70.83","24","17"
"Mar 03,2020","Milan","36.84","19","7"
"Mar 03,2020","Tokyo, Japan (Kyobashi)","111.43","35","39"
"Mar 03,2020","Tokyo, Japan (Shinjuku)","53.11","177","94"
"Mar 03,2020","Seoul, Korea","27.27","44","12"
"Mar 03,2020","Kuala Lumpur, Malaysia","55.17","29","16"
"Mar 03,2020","Amsterdam","68.9","254","175"
"Mar 04,2020","Amsterdam","69.29","254","176"
"Mar 04,2020","Kuala Lumpur, Malaysia","37.93","29","11"
"Mar 04,2020","Seoul, Korea","27.27","44","12"
"Mar 04,2020","Tokyo, Japan (Shinjuku)","46.33","177","82"
"Mar 04,2020","Tokyo, Japan (Kyobashi)","51.43","35","18"
"Mar 04,2020","Milan","36.84","19","7"
"Mar 04,2020","India-Mumbai","87.5","24","21"
"Mar 04,2020","India Elnath Bldg 5","85.97","1896","1630"
"Mar 04,2020","India-Electra, Bldg 4","92.86","1233","1145"
"Mar 04,2020","India-Bagmane Tridib, Bldg 3","80.54","483","389"
"Mar 04,2020","Dublin","77.27","22","17"
"Mar 04,2020","America s Demo Pool- Sterling VA","100","4","4"
"Mar 04,2020","Hong Kong","40.28","72","29"
"Mar 04,2020","Singapore","51.47","68","35"
"Mar 04,2020","Taipei","56","25","14"
"Mar 04,2020","Moscow","51.22","41","21"
"Mar 04,2020","Riyadh","28.57","91","26"
"Mar 04,2020","Stockholm","58.82","17","10"
"Mar 04,2020","Addlestone","41.98","81","34"
"Mar 04,2020","Belfast","77.78","18","14"
"Mar 04,2020","London, UK","127.78","18","23"
"Mar 04,2020","Cupertino, CA (Mist)","56.76","111","63"
"Mar 04,2020","Bridgewater","105.88","34","36"
"Mar 04,2020","Dallas","35.29","17","6"
"Mar 04,2020","Durham, NC","116.67","48","56"
"Mar 04,2020","Frederick, MD (R&D)","66.67","3","2"
"Mar 04,2020","Munich","161.54","13","21"
"Mar 04,2020","Madrid, Spain","90","40","36"
"Mar 04,2020","Paris, France","55.93","59","33"
"Mar 04,2020","Shanghai","19.05","42","8"
"Mar 04,2020","Beijing Sales","6.12","49","3"
"Mar 04,2020","Beijing R&D","6.04","149","9"
"Mar 04,2020","Beijing CSS","4.48","67","3"
"Mar 04,2020","Kanata Optical (BTI Ottawa)","85.71","21","18"
"Mar 04,2020","Kanata (R&D)","68.63","51","35"
"Mar 04,2020","Sydney Sales","82.22","45","37"
"Mar 04,2020","Brussels","100","2","2"
"Mar 04,2020","Dubai","91.18","34","31"
"Mar 04,2020","Melbourne Sales","77.36","53","41"
"Mar 04,2020","Herndon, Bldg 1","60.32","126","76"
"Mar 04,2020","SVL Building 5","146.88","64","94"
"Mar 04,2020","Quincy, WA GEO DC Bldg A","100","32","32"
"Mar 04,2020","SVL Building 8","168.89","45","76"
"Mar 04,2020","SVL Building A","88.33","1260","1113"
"Mar 04,2020","SVL Building B","88.24","1335","1178"
"Mar 04,2020","Westford NEIC R&D","64.38","452","291"
"Mar 05,2020","Westford NEIC R&D","66.81","452","302"
"Mar 05,2020","SVL Building B","89.21","1335","1191"
"Mar 05,2020","SVL Building A","87.94","1260","1108"
"Mar 05,2020","SVL Building 8","144.44","45","65"
"Mar 05,2020","Quincy, WA GEO DC Bldg A","90.63","32","29"
"Mar 05,2020","SVL Building 5","129.69","64","83"
"Mar 05,2020","Herndon, Bldg 1","59.52","126","75"
"Mar 05,2020","Melbourne Sales","67.92","53","36"
"Mar 05,2020","Dubai","91.18","34","31"
"Mar 05,2020","Brussels","100","2","2"
"Mar 05,2020","Sydney Sales","73.33","45","33"
"Mar 05,2020","Kanata (R&D)","62.75","51","32"
"Mar 05,2020","Kanata Optical (BTI Ottawa)","85.71","21","18"
"Mar 05,2020","Beijing CSS","1.49","67","1"
"Mar 05,2020","Guangzhou, China","10.53","19","2"
"Mar 05,2020","Beijing R&D","4.7","149","7"
"Mar 05,2020","Beijing Sales","4.08","49","2"
"Mar 05,2020","Shanghai","9.52","42","4"
"Mar 05,2020","Paris, France","45.76","59","27"
"Mar 05,2020","Madrid, Spain","105","40","42"
"Mar 05,2020","Munich","46.15","13","6"
"Mar 05,2020","Durham, NC","60.42","48","29"
"Mar 05,2020","Dallas","47.06","17","8"
"Mar 05,2020","Bridgewater","64.71","34","22"
"Mar 05,2020","Cupertino, CA (Mist)","54.95","111","61"
"Mar 05,2020","London, UK","155.56","18","28"
"Mar 05,2020","Belfast","55.56","18","10"
"Mar 05,2020","Addlestone","41.98","81","34"
"Mar 05,2020","Stockholm","52.94","17","9"
"Mar 05,2020","Riyadh","24.18","91","22"
"Mar 05,2020","Moscow","53.66","41","22"
"Mar 05,2020","Taipei","28","25","7"
"Mar 05,2020","Singapore","55.88","68","38"
"Mar 05,2020","Hong Kong","33.33","72","24"
"Mar 05,2020","America s Demo Pool- Sterling VA","100","4","4"
"Mar 05,2020","Dublin","77.27","22","17"
"Mar 05,2020","India-Bagmane Tridib, Bldg 3","76.4","483","369"
"Mar 05,2020","India-Electra, Bldg 4","90.19","1233","1112"
